Brand;Color;Rating;Selling Price
OPPO;Moonlight Black;4,5;11990
OPPO;Mint Cream;4,5;11990
OPPO;Moonlight Black;4,3;13990
OPPO;Mint Cream;4,3;13990
OPPO;Electric Black;4,5;11990
OPPO;Electric Black;4,3;13990
OPPO;Deep Blue;4,4;10490
OPPO;Black;4,4;9490
OPPO;Blue;4,4;9490
OPPO;Flowing Silver;4,4;9490
OPPO;Deep Blue;4,4;9490
OPPO;Flowing Silver;4,4;10490
OPPO;Crystal Blue;4,3;15990
OPPO;Ink Black;4,3;15990
OPPO;Blue;4,4;10490
OPPO;Crystal Blue;4,3;17990
OPPO;Ink Black;4,3;17990
OPPO;Moonlight Black;4,3;10490
OPPO;Lake Green;4,3;11960
OPPO;Mystery Black;4,3;11779
OPPO;Fantastic Purple;4,3;18979
OPPO;Flowing Silver;4,2;8990
OPPO;Matte Black;4,3;19990
OPPO;Moonlight Gold;4,3;15990
OPPO;Moonlight Gold;4,3;14990
OPPO;Aurora;4,3;29990
OPPO;Stellar Black;4,3;29990
OPPO;Magic Blue;4,3;19990
OPPO;Starry Blue;4,3;14990
OPPO;Starry Blue;4,3;15990
OPPO;Moonlight Gold;4,3;16990
OPPO;Starry Blue;4,3;16990
OPPO;Crystal Black;4,3;14990
OPPO;Metallic White;4,3;19990
OPPO;Fantasy White;4,3;12199
OPPO;Navy Blue;4,3;21990
OPPO;Fancy Blue;4,3;15999
OPPO;Deep Blue;4,2;8990
OPPO;Crystal Black;4,3;15990
OPPO;Astral Blue;4,4;35990
OPPO;Dynamic Black;4,3;10990
OPPO;Dynamic Orange;4,2;16990
OPPO;Mystery Blue;4,3;10990
OPPO;Fairy White;4,5;13499
OPPO;Fairy White;4,3;15999
OPPO;Fluid Black;4,3;18380
OPPO;Stellar Black;4,4;39990
OPPO;Crystal Black;4,3;16990
OPPO;Sky White;4,4;19990
OPPO;Lake Green;4,4;19990
OPPO;Midnight Black;4,4;26798
OPPO;Navy Blue;4,2;16990
OPPO;Dynamic Black;4,3;12990
OPPO;Rainbow Silver;4,3;12990
OPPO;Auroral Blue;4,4;27990
OPPO;Crystal Silver;4,3;21990
OPPO;Fantastic Purple;4,3;23490
OPPO;Space Silver;4,3;25990
OPPO;Fluid Black;4,3;25990
OPPO;Fancy White;4,3;12889
OPPO;Fluid Black;4,3;21990
OPPO;Crystal Silver;4,3;23490
OPPO;Fluid Black;4,3;23490
OPPO;Fantastic Purple;4,3;21990
OPPO;Fancy Blue;4,5;13499
OPPO;Midnight Blue;4,2;19990
OPPO;Mystery Blue;4;9989
OPPO;Auroral Blue;4,4;24989
OPPO;Glaring Gold;4,4;10990
OPPO;Rainbow Silver;4,3;11249
OPPO;Starry Black;4,4;35990
OPPO;Red;4,4;24990
OPPO;Blue;4,3;8990
OPPO;JET BLACK;4,4;29999
OPPO;Luminous Black;4,5;29489
OPPO;Aurora;4,4;39990
OPPO;Unicorn White;4,4;15990
OPPO;Prism Black;4,2;19990
OPPO;Piano Black;4,3;13990
OPPO;Classic Silver;4,2;20999
OPPO;Lightening Black;4,4;15990
OPPO;Sky White;4,4;24719
OPPO;Midnight Black;4,4;24768
OPPO;Marine Green;4,3;14990
OPPO;Bordeaux Red;4,6;60990
OPPO;Galactic Blue;4,4;34990
OPPO;Marble Green;4,4;17990
OPPO;Diamond Blue;4,4;15990
OPPO;Silky White;4,4;34990
OPPO;Starry Night;4,4;34990
OPPO;Space Silver;4,2;19990
OPPO;Black;4,4;10990
OPPO;Space Purple;4,3;14990
OPPO;Sky White;4,4;21990
OPPO;Dazzling White;4,4;12990
OPPO;Rose Gold;4,3;17000
OPPO;Gold;4;27500
OPPO;Piano Black;4,4;15000
OPPO;Blue;4,3;15000
OPPO;Rose Gold;4,3;18000
OPPO;Blazing Blue;4,4;15990
OPPO;Purple;4,3;15000
OPPO;Champagne;4,2;11000
OPPO;Aurora Blue;4,3;23990
OPPO;Mist Black;4,5;19000
OPPO;Sky White;4,5;29489
OPPO;Black;4,4;9490
OPPO;Red;4,3;13990
OPPO;Black;4,4;15500
OPPO;Twilight Black;4,3;17999
OPPO;Stream White;4,3;17999
OPPO;Black;4,4;9940
OPPO;Black;4,3;12990
OPPO;Black;3,8;10000
OPPO;Gold;4,4;15726
OPPO;Gold;4,3;18000
OPPO;Black;4,2;12500
OPPO;Gold;4,2;12500
OPPO;Lightening Black;4,4;18990
OPPO;Blazing Blue;4,4;18990
OPPO;Gold;4,2;18000
OPPO;Mystery Black;4,3;13799
OPPO;Fantasy White;4,3;13899
OPPO;Marine Green;4,3;15990
OPPO;Vanilla Mint;4,3;14990
OPPO;Lake Green;4,4;25889
OPPO;Red;4,3;12990
OPPO;Red;4,3;8490
OPPO;Green;4,4;15677
OPPO;Grey;4,2;10000
OPPO;Sunrise Red;4,5;19990
OPPO;Red;4,3;12000
OPPO;Twilight Blue;4,5;21150
OPPO;Champagne;4,4;14995
OPPO;Red;4,4;9500
OPPO;Starry Purple;4,5;21150
OPPO;Blue;4,4;13750
OPPO;Red;4,4;12990
OPPO;Purple;4,3;12990
OPPO;Purple;4,4;9500
OPPO;Diamond Blue;4,4;15000
OPPO;Diamond Blue;4,4;15000
OPPO;Diamond Red;4,4;13500
OPPO;Diamond Red;4,4;15990
OPPO;Stream White;4,3;16990
OPPO;Mint Cream;4,3;10490
OPPO;Dynamic Orange;4,3;22990
OPPO;Classic Silver;4,3;22990
OPPO;Dynamic Black;4,3;13489
OPPO;Dynamic Black;4;8990
OPPO;Twilight Black;4,4;14990
OPPO;Sky White;4,4;27990
OPPO;Glaring Gold;4,3;10990
OPPO;Black;4,3;7990
OPPO;Twilight Black;4,3;20990
OPPO;Stream White;4,3;20990
OPPO;Stream White;4,4;14990
OPPO;Blue;4,4;10990
OPPO;Black;4,4;14990
OPPO;Glaze Blue;4,4;10990
OPPO;Red;4,2;9990
OPPO;Red;4,3;13990
OPPO;Glaze Blue;4,3;10990
OPPO;Mirror Black;4,4;14990
OPPO;Champagne;4,3;16990
OPPO;Gold;4,4;19990
OPPO;Jade Black;4,3;24990
OPPO;Gold;4,4;10990
OPPO;White;3,8;8490
OPPO;Astral Blue;4,4;14990
OPPO;Astral Blue;4,3;13990
OPPO;Jade Black;4,2;30994
OPPO;Black;4,4;10990
OPPO;Stellar Purple;4,5;17890
OPPO;Black;4,3;20990
OPPO;Black;4,2;14990
OPPO;Marble Green;4,4;12990
OPPO;Fluorite Purple;4,4;12990
OPPO;Black;4,3;22990
OPPO;Gold;4,3;22990
OPPO;Black;4,3;30990
OPPO;Black;4,4;22990
OPPO;Gold;4,3;21999
OPPO;Black;4,4;22990
OPPO;Starry Night;4,4;34990
OPPO;Black;4,4;22990
OPPO;Starry Night;4,4;34990
OPPO;Black;4,4;22990
OPPO;Gold;4,3;12990
OPPO;Waterfall Grey;4,5;14990
OPPO;Aurora Green;4,5;17990
OPPO;White;3;21452
OPPO;Fluorite Purple;4,4;17990
OPPO;Fluorite Purple;4,4;13990
OPPO;Vanilla Mint;4,3;15990
OPPO;Black;3;24990
OPPO;Thunder Black;4,5;16990
OPPO;Aurora Green;4,5;16890
OPPO;Aurora Blue;4,2;29999
OPPO;Space Purple;4,3;15990
OPPO;Fancy white;4,3;13489
OPPO;Rainbow Silver;4,3;13489
OPPO;Blue;4,4;10990
OPPO;Black;4,3;17990
OPPO;Gold;4,3;17990
OPPO;Jewelry White;4,4;17990
OPPO;Black;4,4;22990
OPPO;Red;4,4;22990
OPPO;Silver;4,4;22990
OPPO;Glacier Blue;4,6;60990
OPPO;Black;3,8;4999
OPPO;Red;4,5;27990
OPPO;Gold;4,1;15739
OPPO;Luminous Black;4,4;38990
OPPO;Black;4,5;27990
OPPO;White;3,8;4999
OPPO;Neon Purple;3,7;38999
OPPO;Rainbow Silver;4;9490
OPPO;Unicorn White;4,4;18990
OPPO;Jet Black;4,5;38990
OPPO;Marble Green;4,4;13990
OPPO;Majestic Gold;4,4;41990
OPPO;Black;4,2;9990
OPPO;Grey;4,2;12990
OPPO;Rose Gold;4;24900
OPPO;Black;4,4;13490
OPPO;Thunder Black;4,5;17990
OPPO;Grey;4,3;18990
OPPO;Rose Gold;4,3;18990
OPPO;Gold;4,3;18990
OPPO;Ocean Green;4,5;38990
OPPO;Jet Black;4,4;41990
OPPO;Ocean Green;4,4;41990
OPPO;Gold;4,2;9990
OPPO;Ocean Blue;4,4;38990
OPPO;White;3,1;9990
OPPO;Starry purple;4,5;21990
HTC;Amazing Silver;4,7;56990
HTC;Blue;3,9;12999
HTC;Blue;3,9;16999
HTC;Blue;3,9;17999
HTC;Blue MB;3,9;13999
IQOO;Quantum Silver;4,4;34990
IQOO;Tornado Black;4,4;34990
IQOO;Quantum Silver;4,4;37990
IQOO;Tornado Black;4,4;37990
IQOO; Tornado Black;4,4;39990
Google Pixel;Just Black;4,5;31999
Google Pixel;Clearly White;4,5;44999
Google Pixel;Just Black;4,5;69999
Google Pixel;Just Black;4,5;44999
Google Pixel;Clearly White;4,5;71000
Google Pixel;Not Pink;4,5;71000
Google Pixel;Not Pink;4,5;80000
Google Pixel;Not Pink;4,6;83000
Google Pixel;Just Black;4,6;83000
